transaction_id,detail,merchant_id,status,created_at,updated_at
c4574c90-eabe-4c86-8a27-c088f66e8711,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,0f57bb0a-3cd6-47ec-ad95-111111111111,ACTIVE,2017-12-28 16:17:06,2017-12-03 22:31:52
deae0e8d-66da-4b7d-9737-d5fac065949a,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,0f57bb0a-3cd6-47ec-ad95-111111111111,ACTIVE,2017-12-19 18:14:13,2017-12-24 22:19:57
6693728c-e824-4eac-b6b8-21c82a710adf,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,0f57bb0a-3cd6-47ec-ad95-111111111111,ACTIVE,2017-12-07 10:26:01,2017-12-21 06:54:09
c163a192-cc98-4e41-a535-c0b50b02dc6b,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,0f57bb0a-3cd6-47ec-ad95-111111111111,ACTIVE,2017-12-10 10:06:29,2017-12-01 13:37:10
0fc0bcf3-75f6-48b6-abd2-bd08b5ec4a34,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,0f57bb0a-3cd6-47ec-ad95-222222222222,ACTIVE,2017-12-01 07:02:45,2017-12-24 12:19:11
96b258e3-0489-4145-84ff-61e9fac1ba9d,luctus nec molestie sed justo pellentesque viverra pede ac diam,0f57bb0a-3cd6-47ec-ad95-222222222222,ACTIVE,2017-12-16 02:07:20,2017-12-02 19:57:19
70a8af06-2838-4a96-a696-58a7fd1ed672,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,0f57bb0a-3cd6-47ec-ad95-222222222222,ACTIVE,2017-12-18 04:00:02,2017-12-07 15:48:36
186a7ca2-e0e2-46f0-bb12-e72b21d5bd05,nec dui luctus rutrum nulla tellus in sagittis dui vel,0f57bb0a-3cd6-47ec-ad95-111111111111,ACTIVE,2017-12-13 10:09:05,2017-12-26 19:19:23
608414f2-7211-4cb1-8920-7d8aee256695,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,0f57bb0a-3cd6-47ec-ad95-111111111111,ACTIVE,2017-12-08 08:00:39,2017-12-10 19:07:34
8ca1a753-c549-4335-82b7-898f7b00062c,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,0f57bb0a-3cd6-47ec-ad95-222222222222,ACTIVE,2017-12-09 17:12:31,2017-12-04 21:28:42
f277ccbb-f7ea-44ac-b990-0a1f66e00140,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,0f57bb0a-3cd6-47ec-ad95-111111111111,ACTIVE,2017-12-10 08:51:51,2017-12-10 19:40:57
6d6d88c8-9e46-423d-9120-753ee22701fc,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere,0f57bb0a-3cd6-47ec-ad95-111111111111,ACTIVE,2017-12-21 12:15:44,2017-12-06 04:08:54
b6fce81d-8ed1-4ab8-831f-98349ac69099,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,0f57bb0a-3cd6-47ec-ad95-111111111111,ACTIVE,2017-12-08 10:02:49,2017-12-12 08:44:38
eaaa68a8-7144-4c34-a111-4531737ff0a7,morbi a ipsum integer a nibh in quis justo maecenas,0f57bb0a-3cd6-47ec-ad95-222222222222,ACTIVE,2017-12-19 09:38:27,2017-12-01 15:03:45
ca49ec35-9a6d-4027-a93c-9c05a909c46c,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,0f57bb0a-3cd6-47ec-ad95-111111111111,ACTIVE,2017-12-26 20:45:01,2017-12-26 08:16:39
2f993192-08af-4954-9090-7cd84f27c042,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,0f57bb0a-3cd6-47ec-ad95-111111111111,ACTIVE,2017-12-03 16:47:19,2017-12-21 16:56:50
78874a73-f569-4bf3-b33e-bff791679d7f,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,0f57bb0a-3cd6-47ec-ad95-222222222222,ACTIVE,2017-12-09 12:07:53,2017-12-15 02:15:25
dd80d756-3aa0-4910-a1c1-c31e0cdc25ce,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,0f57bb0a-3cd6-47ec-ad95-222222222222,ACTIVE,2017-12-17 08:31:14,2017-12-03 22:52:35
