id,account_id,related_transaction_id,type_code,date,amount,created_at,updated_at,card_id,status
c4574c90-eabe-4c86-8a27-c088f66e8711,e8ab063e-9ef5-48f5-a288-111111111111,NULL,EXPENSE,2017-12-06 09:49:40,1544799.7,2017-12-28 16:17:06,2017-12-03 22:31:52,SND-2211-1111,ACTIVE
deae0e8d-66da-4b7d-9737-d5fac065949a,e8ab063e-9ef5-48f5-a288-111111111111,NULL,REFUND,2017-12-09 21:17:37,3245599.31,2017-12-19 18:14:13,2017-12-24 22:19:57,SND-2211-1111,ACTIVE
6693728c-e824-4eac-b6b8-21c82a710adf,e8ab063e-9ef5-48f5-a288-222222222222,NULL,DEPOSIT,2017-12-24 07:45:07,1159587,2017-12-07 10:26:01,2017-12-21 06:54:09,SND-2211-4444,ACTIVE
c163a192-cc98-4e41-a535-c0b50b02dc6b,e8ab063e-9ef5-48f5-a288-333333333333,NULL,PAYMENT,2017-12-04 06:50:42,1678862.03,2017-12-10 10:06:29,2017-12-01 13:37:10,SND-2211-5555,ACTIVE
0fc0bcf3-75f6-48b6-abd2-bd08b5ec4a34,e8ab063e-9ef5-48f5-a288-111111111111,NULL,DEPOSIT,2017-12-13 13:38:36,4033529.69,2017-12-01 07:02:45,2017-12-24 12:19:11,SND-2211-1111,ACTIVE
96b258e3-0489-4145-84ff-61e9fac1ba9d,e8ab063e-9ef5-48f5-a288-444444444444,NULL,REFUND,2017-12-02 06:58:51,2171058,2017-12-16 02:07:20,2017-12-02 19:57:19,SND-2211-5555,ACTIVE
70a8af06-2838-4a96-a696-58a7fd1ed672,e8ab063e-9ef5-48f5-a288-333333333333,NULL,EXPENSE,2017-12-23 09:21:36,1683836.28,2017-12-18 04:00:02,2017-12-07 15:48:36,SND-2211-2222,ACTIVE
186a7ca2-e0e2-46f0-bb12-e72b21d5bd05,e8ab063e-9ef5-48f5-a288-222222222222,NULL,DEPOSIT,2017-12-17 04:18:05,3111383.54,2017-12-13 10:09:05,2017-12-26 19:19:23,SND-2211-3333,ACTIVE
608414f2-7211-4cb1-8920-7d8aee256695,e8ab063e-9ef5-48f5-a288-444444444444,NULL,REFUND,2017-12-12 09:48:38,4259174.79,2017-12-08 08:00:39,2017-12-10 19:07:34,SND-2211-2222,ACTIVE
8ca1a753-c549-4335-82b7-898f7b00062c,e8ab063e-9ef5-48f5-a288-333333333333,NULL,PAYMENT,2017-12-15 00:37:53,46089.45,2017-12-09 17:12:31,2017-12-04 21:28:42,SND-2211-4444,ACTIVE
