role_id,permission_id
ff8081815fa1bc2a015fa1bc64870003,5b801560-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b7ff33c-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b7ff6ac-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b7ff85a-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b7ffb34-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b7ffd50-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b7ffea4-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b800200-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b80034a-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b80046c-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b800584-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b8006a6-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b8007c8-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b8008e0-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b800c6e-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b800dc2-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b800ee4-eb11-11e7-80c1-9a214cf093ae
ff8081815fa1bc2a015fa1bc64870003,5b801006-eb11-11e7-80c1-9a214cf093ae
