id,display_name,name,created_at,updated_at
5b801560-eb11-11e7-80c1-9a214cf093ae,View Customer List,CUSTOMER_LIST/VIEW,2017-12-27 21:10:12,null
5b7ff33c-eb11-11e7-80c1-9a214cf093ae,View Customer Details,CUSTOMER_DETAILS/VIEW,2017-12-27 21:10:12,null
5b7ff6ac-eb11-11e7-80c1-9a214cf093ae,View Account List,ACCOUNT_LIST/VIEW,2017-12-27 21:10:12,null
5b7ff85a-eb11-11e7-80c1-9a214cf093ae,View Account Details,ACCOUNT_DETAILS/VIEW,2017-12-27 21:10:12,null
5b7ffb34-eb11-11e7-80c1-9a214cf093ae,Lock Account,ACCOUNT_DETAILS/LOCK,2017-12-27 21:10:12,null
5b7ffd50-eb11-11e7-80c1-9a214cf093ae,Update Account,ACCOUNT_DETAILS/UPDATE,2017-12-27 21:10:12,null
5b7ffea4-eb11-11e7-80c1-9a214cf093ae,View Card List,CARD_LIST/VIEW,2017-12-27 21:10:12,null
5b800200-eb11-11e7-80c1-9a214cf093ae,View Card Details,CARD_DETAILS/VIEW,2017-12-27 21:10:12,null
5b80034a-eb11-11e7-80c1-9a214cf093ae,Create New Wallet,CARD_DETAILS/CREATE_WALLET,2017-12-27 21:10:12,null
5b80046c-eb11-11e7-80c1-9a214cf093ae,Remove Wallet,CARD_DETAILS/REMOVE_WALLET,2017-12-27 21:10:12,null
5b800584-eb11-11e7-80c1-9a214cf093ae,View Wallet List,WALLET_LIST/VIEW,2017-12-27 21:10:12,null
5b8006a6-eb11-11e7-80c1-9a214cf093ae,View Merchant List,MERCHANT_LIST/VIEW,2017-12-27 21:10:12,null
5b8007c8-eb11-11e7-80c1-9a214cf093ae,View Merchant Details,MERCHANT_DETAIL/VIEW,2017-12-27 21:10:12,null
5b8008e0-eb11-11e7-80c1-9a214cf093ae,View User List,USER_LIST/VIEW,2017-12-27 21:10:12,null
5b800c6e-eb11-11e7-80c1-9a214cf093ae,View User Details,USER_DETAIL/VIEW,2017-12-27 21:10:12,null
5b800dc2-eb11-11e7-80c1-9a214cf093ae,Reset User Password,USER_DETAIL/RESET_PASSWORD,2017-12-27 21:10:12,null
5b800ee4-eb11-11e7-80c1-9a214cf093ae,Lock/Unlock User,USER_DETAIL/LOCK_UNLOCK,2017-12-27 21:10:12,null
5b801006-eb11-11e7-80c1-9a214cf093ae,Update User,USER_DETAIL/UPDATE,2017-12-27 21:10:12,null
